Date,ME,RA,EA,NE,OC,NC,BC,CM
12/5/2020,4,4,4,4,4,4,4,4
12/6/2020,4,4,4,4,4,4,4,4
12/7/2020,4,4,4,4,4,4,4,4
12/8/2020,4,4,4,4,4,4,4,4
12/9/2020,4,4,4,4,4,4,4,4
12/10/2020,4,4,4,4,4,4,4,4
12/11/2020,4,4,4,4,4,4,4,4
12/12/2020,4,4,4,4,4,4,4,4
12/13/2020,4,4,4,4,4,4,4,4
12/14/2020,4,4,4,4,4,4,4,4
12/15/2020,4,4,4,4,4,4,4,4
12/16/2020,4,4,4,4,4,4,4,4
12/17/2020,4,4,4,4,4,4,4,4
12/18/2020,4,4,4,4,4,4,4,4
12/19/2020,4,4,4,4,4,4,4,4
12/20/2020,4,4,4,4,4,4,4,4
12/21/2020,4,4,4,4,4,4,4,4
12/22/2020,4,4,4,4,4,4,4,4
12/23/2020,4,4,4,4,4,4,4,4
12/24/2020,4,4,4,4,4,4,4,4
12/25/2020,4,4,4,4,4,4,4,4
12/26/2020,4,4,4,4,4,4,4,4
12/27/2020,4,4,4,4,4,4,4,4
12/28/2020,4,4,4,4,4,4,4,4
12/29/2020,4,4,4,4,4,4,4,4
12/30/2020,4,4,4,4,4,4,4,4
12/31/2020,4,4,4,4,4,4,4,4
1/1/2021,4,4,4,4,4,4,4,4
1/2/2021,4,4,4,4,4,4,4,4
1/3/2021,4,4,4,4,4,4,4,4
1/4/2021,4,4,4,4,4,4,4,4
1/5/2021,4,4,4,4,4,4,4,4
1/6/2021,4,4,4,4,4,4,4,4
1/7/2021,4,4,4,4,4,4,4,4
1/8/2021,4,4,4,4,4,4,4,4
1/9/2021,4,4,4,4,4,4,4,4
1/10/2021,4,4,4,4,4,4,4,4
1/11/2021,4,4,4,4,4,4,4,4
1/12/2021,4,4,4,4,4,4,4,4
1/13/2021,4,4,4,4,4,4,4,4
1/14/2021,4,4,4,4,4,4,4,4
1/15/2021,4,4,4,4,4,4,4,4
1/16/2021,4,4,4,4,4,4,4,4
1/17/2021,4,4,4,4,4,4,4,4
1/18/2021,4,4,4,4,4,4,4,4
1/19/2021,4,4,4,4,4,4,4,4
1/20/2021,4,4,4,4,4,4,4,4
1/21/2021,4,4,4,4,4,4,4,4
1/22/2021,4,4,4,4,4,4,4,4
1/23/2021,4,4,4,4,4,4,4,4
1/24/2021,4,4,4,4,4,4,4,4
1/25/2021,4,4,4,4,4,4,4,4
1/26/2021,4,4,4,4,4,4,4,4
1/27/2021,4,4,4,4,4,4,4,4
1/28/2021,4,4,4,4,4,4,4,4
1/29/2021,4,4,4,4,4,4,4,4
1/30/2021,4,4,4,4,4,4,4,4
1/31/2021,4,4,4,4,4,4,4,4
2/1/2021,4,4,4,4,4,4,4,4
2/2/2021,4,4,4,4,4,4,4,4
2/3/2021,4,4,4,4,4,4,4,4
2/4/2021,4,4,4,4,4,4,4,4
2/5/2021,4,4,4,4,4,4,4,4
2/6/2021,4,4,4,4,4,4,4,4
2/7/2021,4,4,4,4,4,4,4,4
2/8/2021,4,4,4,4,4,4,4,4
